##['TANGGAL', 'JAM', 'SEQUENCE', 'EMITEN', 'OPEN_PRICE', 'HIGH_PRICE', 'LOW_PRICE', 'CLOSE_PRICE', 'VOLUME', 'VALUE', 'FREQUENCY']
['20200226', '030042', '00000724', 'AALI', '00000018200.00', '00000018200.00', '00000018200.00', '00000018200.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000725', 'AALI-R', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000726', 'ABBA', '00000000168.00', '00000000168.00', '00000000168.00', '00000000168.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000727', 'ABBA-R', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000728', 'ABDA', '00000007000.00', '00000007000.00', '00000007000.00', '00000007000.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000729', 'ABMM', '00000002150.00', '00000002150.00', '00000002150.00', '00000002150.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000730', 'ACES', '00000001750.00', '00000001750.00', '00000001750.00', '00000001750.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000731', 'ACST', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000732', 'ADES', '00000001300.00', '00000001300.00', '00000001300.00', '00000001300.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000733', 'ADHI', '00000001700.00', '00000001700.00', '00000001700.00', '00000001700.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000734', 'ADMF', '00000006025.00', '00000006025.00', '00000006025.00', '00000006025.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000735', 'ADMG', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000736', 'ADRO', '00000001480.00', '00000001480.00', '00000001480.00', '00000001480.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000737', 'AGII', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000738', 'AGRO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000739', 'AGRS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000740', 'AHAP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000741', 'AIMS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000742', 'AISA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000743', 'AKKU', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000744', 'AKPI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000745', 'AKRA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000746', 'AKSI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000747', 'ALDO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000748', 'ALKA', '00000000130.00', '00000000130.00', '00000000130.00', '00000000130.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000749', 'ALMI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000750', 'ALTO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000751', 'AMAG', '00000000398.00', '00000000398.00', '00000000398.00', '00000000398.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000752', 'AMFG', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000753', 'AMIN', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000754', 'AMRT', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000755', 'ANJT', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000756', 'ANTM', '00000000900.00', '00000000900.00', '00000000900.00', '00000000900.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000757', 'APEX', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000758', 'APIC', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000759', 'APII', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000760', 'APLI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000761', 'APLN', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000762', 'APOL', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000763', 'ARGO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000764', 'ARII', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000765', 'ARMY', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000766', 'ARNA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000767', 'ARTA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000768', 'ARTI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000769', 'ARTO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000770', 'ASBI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000771', 'ASDM', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000772', 'ASGR', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000773', 'ASII', '00000007000.00', '00000007000.00', '00000007000.00', '00000007000.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000774', 'ASJT', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000775', 'ASMI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000776', 'ASRI', '00000000320.00', '00000000320.00', '00000000320.00', '00000000320.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000777', 'ASRM', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000778', 'ASSA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000779', 'ATIC', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000780', 'ATPK', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000781', 'AUTO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000782', 'BABP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000783', 'BACA', '00000000250.00', '00000000250.00', '00000000250.00', '00000000250.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000784', 'BACA-W2', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000785', 'BAJA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000786', 'BALI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000787', 'BAPA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000788', 'BATA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000789', 'BAYU', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000790', 'BBCA', '00000054500.00', '00000054500.00', '00000054500.00', '00000054500.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000791', 'BBCAODCG0A', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000792', 'BBHI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000793', 'BBKP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000794', 'BBLD', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000795', 'BBMD', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000796', 'BBNI', '00000015725.00', '00000015725.00', '00000015725.00', '00000015725.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000797', 'BBNP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00000798', 'BBRI', '00000004960.00', '00000004960.00', '00000004960.00', '00000004960.00', '000000000000', '0000000000000000', '0000000']
